"Type","From","To","Anchor Text","Alt Text","Follow","Target","Rel","Path Type","Link Path","Link Position"
"Iframe","https://www.e-kislorod.ru/articles/tovary-dlya-vrachey-i-meditsinskikh-uchrezhdeniy/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/0ncKjicVBWk","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/iframe[13]","Content"
"Iframe","https://www.e-kislorod.ru/company/news/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/0ncKjicVBWk","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/p[12]/iframe","Content"
"Iframe","https://www.e-kislorod.ru/articles/tovary-dlya-vrachey-i-meditsinskikh-uchrezhdeniy/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/BnK80OqlTNw","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/iframe[2]","Content"
"Iframe","https://www.e-kislorod.ru/catalog/kvarsevie-lampi--oblu4ateli/kvartsevaya-lampa-kristall-otkrytogo-tipa/","https://www.youtube.com/embed/BnK80OqlTNw","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-text']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/company/news/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/BnK80OqlTNw","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/p[1]/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/prokat-oborudovaniy/arenda-kislorodnogo-kontsentratora/","https://www.youtube.com/embed/3x1tE2R9M7A","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/konsentratori-kicloroda/kislorodnyy-kontsentrator-ventum-smart-5/","https://www.youtube.com/embed/3x1tE2R9M7A","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/div/iframe","Content"
"Iframe","https://www.e-kislorod.ru/articles/tovary-dlya-vrachey-i-meditsinskikh-uchrezhdeniy/nashi-video-syuzhety-s-gogolya-42/","https://www.youtube.com/embed/8kTXlkWolHE","","","True","","","Absolute","//body/div[@id='content']/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12 pull-right']/iframe[8]","Content"
"Iframe","https://www.e-kislorod.ru/catalog/velosiped-dlya-detey-s-dtsp/angel-solo-4-uvelichennoe-sidenie/","https://www.youtube.com/embed/8kTXlkWolHE","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
"Iframe","https://www.e-kislorod.ru/catalog/velosiped-dlya-detey-s-dtsp/angel-solo-4-bokovaya-podderzhka/","https://www.youtube.com/embed/8kTXlkWolHE","","","True","","","Absolute","//body/div[@id='content']/div/div/div[@class='col-lg-9 col-md-9 col-sm-12 col-xs-12']/div[@id='bxr-detail-block-wrap']/div/div[@id='' and @class='bxr-detail-tab bxr-detail-video']/iframe","Content"
